timestamp,system_id,srcaddr,dstaddr,nexthop,dPkts,dOctets,first,last,srcport,dstport,tcp_flags,protocol,tos,src_as,dst_as,src_mask,dst_mask,input,output
60003,f86f1f80e26c4808830bb0aeb720b126,3323369965,168430102,167837954,12,15069,-27326,60003,63971,80,0,6,0,33058,65000,24,24,14,100
60006,f86f1f80e26c4808830bb0aeb720b126,1541341590,168430164,167837954,63,76288,-53783,60006,55342,443,0,6,0,48478,65000,24,24,14,100
60013,f86f1f80e26c4808830bb0aeb720b126,1348497022,168430155,167837954,44,53519,-24740,60013,53484,443,0,6,0,20929,65000,24,24,14,100
60015,f86f1f80e26c4808830bb0aeb720b126,853447360,168430173,167837954,8180,9816901,-52251,60015,54587,22,0,6,0,33660,65000,24,24,14,100
60023,f86f1f80e26c4808830bb0aeb720b126,168430165,3048117153,167772162,893,1071632,60004,60004,22,49368,0,6,0,65000,52308,24,24,100,14
60025,f86f1f80e26c4808830bb0aeb720b126,168430147,3507087427,167772162,4881,5858237,60007,60007,443,54038,0,6,0,65000,29944,24,24,100,14
60030,f86f1f80e26c4808830bb0aeb720b126,3104665062,168430137,167837954,39,47328,-42622,60030,62110,80,0,6,0,44503,65000,24,24,14,100
60034,f86f1f80e26c4808830bb0aeb720b126,168430121,1123202805,167772162,3246,3895278,60016,60016,443,63849,0,6,0,65000,25941,24,24,100,14
60039,f86f1f80e26c4808830bb0aeb720b126,168430098,3537576138,167774722,72,87538,60022,60022,80,65212,0,6,0,65000,1237,24,24,100,14
60042,f86f1f80e26c4808830bb0aeb720b126,3287461731,168430157,167837954,38,46171,-245,60042,51454,22,0,6,0,3330,65000,24,24,14,100
60050,f86f1f80e26c4808830bb0aeb720b126,168430152,398779149,167779842,5161,6193204,60031,60031,80,50468,0,6,0,65000,20940,24,24,100,14
60053,f86f1f80e26c4808830bb0aeb720b126,168430180,1293222734,167777282,7288,8745768,60037,60037,80,60634,0,6,0,65000,31334,24,24,100,14
60058,f86f1f80e26c4808830bb0aeb720b126,1145950504,168430102,167837954,39,47177,-1854,60058,53752,22,0,6,0,27482,65000,24,24,14,100
60065,f86f1f80e26c4808830bb0aeb720b126,168430094,3179046049,167772162,4662,5594945,60047,60047,22,61650,0,6,0,65000,22356,24,24,100,14
60067,f86f1f80e26c4808830bb0aeb720b126,1208015819,168430113,167837954,53,64004,-57515,60067,57957,22,0,6,0,26198,65000,24,24,14,100
60075,f86f1f80e26c4808830bb0aeb720b126,2997941582,168430144,167837954,41,50149,-11081,60075,57411,443,0,6,0,31205,65000,24,24,14,100
60079,f86f1f80e26c4808830bb0aeb720b126,1044164633,168430133,167837954,4676,5612365,-37492,60079,50382,80,0,6,0,57391,65000,24,24,14,100
60084,f86f1f80e26c4808830bb0aeb720b126,3568763088,168430139,167837954,12,15200,-4413,60084,63522,80,0,6,0,8447,65000,24,24,14,100
60087,f86f1f80e26c4808830bb0aeb720b126,1870495349,168430150,167837954,59,71790,-50308,60087,49505,22,0,6,0,17639,65000,24,24,14,100
60091,f86f1f80e26c4808830bb0aeb720b126,168430094,209210699,167774722,48,58494,60072,60072,80,50409,0,6,0,65000,7018,24,24,100,14
60097,f86f1f80e26c4808830bb0aeb720b126,168430093,3049200445,167774722,1981,2377523,60077,60077,22,50076,0,6,0,65000,52425,24,24,100,14
60102,f86f1f80e26c4808830bb0aeb720b126,168430141,3398159335,167774722,8227,9873265,60082,60082,80,61348,0,6,0,65000,9835,24,24,100,14
60107,f86f1f80e26c4808830bb0aeb720b126,3287461711,168430168,167837954,56,67250,-12753,60107,57859,443,0,6,0,3330,65000,24,24,14,100
60113,f86f1f80e26c4808830bb0aeb720b126,168430131,760580462,167777282,7646,9175550,60093,60093,22,63560,0,6,0,65000,35394,24,24,100,14
60118,f86f1f80e26c4808830bb0aeb720b126,1209303631,168430097,167837954,22,27200,-11967,60118,60313,443,0,6,0,22442,65000,24,24,14,100
60120,f86f1f80e26c4808830bb0aeb720b126,1540130432,168430121,167837954,25,30708,-38224,60120,60303,22,0,6,0,47513,65000,24,24,14,100
60126,f86f1f80e26c4808830bb0aeb720b126,1592013057,168430175,167837954,55,66862,-31503,60126,61253,443,0,6,0,44346,65000,24,24,14,100
60133,f86f1f80e26c4808830bb0aeb720b126,168430106,3629561086,167774722,589,706970,60118,60118,22,57992,0,6,0,65000,11191,24,24,100,14
60135,f86f1f80e26c4808830bb0aeb720b126,168430152,1885261477,167774722,5174,6209270,60118,60118,22,53027,0,6,0,65000,17622,24,24,100,14
60140,f86f1f80e26c4808830bb0aeb720b126,168430164,1540919685,167774722,4241,5089484,60120,60120,443,51849,0,6,0,65000,6696,24,24,100,14
60147,f86f1f80e26c4808830bb0aeb720b126,3280490286,168430121,167837954,14,16860,-46785,60147,54681,22,0,6,0,39437,65000,24,24,14,100
60149,f86f1f80e26c4808830bb0aeb720b126,3248718946,168430167,167837954,49,59966,-46318,60149,55164,22,0,6,0,3292,65000,24,24,14,100
60157,f86f1f80e26c4808830bb0aeb720b126,762855910,168430120,167837954,73,87746,-22669,60157,65225,80,0,6,0,18328,65000,24,24,14,100
60161,f86f1f80e26c4808830bb0aeb720b126,3554556288,168430120,167837954,52,62747,-29158,60161,51933,22,0,6,0,55586,65000,24,24,14,100
